# hven_sqp_corpus provenance -- ENGINE interior (top-level interior-point driver)
# binary: 335a6669adf1
# schema: 31
# invocation: /home/ghecht/Projects/hven/.scratch/w5t89r/arm-head/build/bench/hven_sqp_corpus --engine interior --cells f7_n1000_bound_neutral,f7_n1000_bound_physics,f7_n1000_bound_corrupted,f7_n1000_bound_activity,f7_n1000_bound_warm,f7_n2000_bound_neutral,f7_n2000_bound_physics,f7_n2000_bound_corrupted,f7_n2000_bound_activity,f7_n2000_bound_warm,f7_n5000_bound_neutral,f7_n5000_bound_physics,f7_n5000_bound_corrupted,f7_n5000_bound_activity,f7_n5000_bound_warm,f7_n10000_bound_neutral,f7_n10000_bound_physics,f7_n10000_bound_corrupted,f7_n10000_bound_activity,f7_n10000_bound_warm,f7_n20000_bound_neutral,f7_n20000_bound_physics,f7_n20000_bound_corrupted,f7_n20000_bound_activity,f7_n20000_bound_warm,f7_n1000_path_warm,f7_n800_path_warm --csv /home/ghecht/Projects/hven/.scratch/w5t89r/art/raw/interior/head-r3.csv
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-11T14:03:04Z
# levers: max_iters=200 print_level=10 partitions=1 qp_threads=1
# levers: kkt_tol=1.000000000e-08 econ_tol=1.000000000e-08 icon_tol=1.000000000e-08 barr_tol=1.000000000e-08
# levers: bound_relax_factor=1.000000000e-08
# treatments: MakeParameter,MakeConstraint,RelaxBounds -- one row each, per cell
# key: column 0 is <cell_id>/<fixed_treatment>, plus /<variant> on a non-base row
# variant: base entry=optimize warm=<none> max_iters=<levers> restoration=off max_feas_rest=<unused> con_tol=<levers> acc_tols=<default>/<default>/<default> div_tol=<default>
# variant: cap1 entry=optimize warm=<none> max_iters=1 restoration=off max_feas_rest=<unused> con_tol=<levers> acc_tols=<default>/<default>/<default> div_tol=<default>
# variant: stalled entry=solve warm=<none> max_iters=600 restoration=l1_nested max_feas_rest=1 con_tol=2.000000000e-02 acc_tols=1.000000000e-06/2.000000000e-01/1.000000000e-06 div_tol=1.000000000e+300
# variant: resto_infeasible entry=optimize warm=<none> max_iters=200 restoration=l1_nested max_feas_rest=1 con_tol=<levers> acc_tols=<default>/<default>/<default> div_tol=<default>
# variant: solve_optimize entry=solve_optimize warm=<none> max_iters=<levers> restoration=off max_feas_rest=<unused> con_tol=<levers> acc_tols=<default>/<default>/<default> div_tol=<default>
# variant: warm_payload entry=optimize warm=payload max_iters=<levers> restoration=off max_feas_rest=<unused> con_tol=<levers> acc_tols=<default>/<default>/<default> div_tol=<default>
# variant: warm_multiplier_seed entry=optimize warm=multiplier_seed max_iters=<levers> restoration=off max_feas_rest=<unused> con_tol=<levers> acc_tols=<default>/<default>/<default> div_tol=<default>
# variant: parts2 entry=optimize warm=<none> max_iters=<levers> restoration=off max_feas_rest=<unused> con_tol=<levers> acc_tols=<default>/<default>/<default> div_tol=<default>
# abnormal-exit rows run under MakeParameter only, unconditionally (they do not vary with --cells), on the cells named in their keys
# parts2: requested=2 adopted=2 eval_pool_threads=16 on cell f7_n1000_bound_neutral
# parts2 rows are LAYOUT rows: all three adapter pieces are MainThread, so the adapter's whole problem sits in the LAST partition and runs inline on the calling thread
# parts2/MakeConstraint and parts2/MakeParameter therefore BOTH have an empty partition 0 -- no F7 cell has a bound-fixed variable, so MakeConstraint adds no RoundRobin fixing row here; the two rows differ in the treatment alone
# warm rows (M6 W5 T8.5): hs071_x1_fixed/MakeParameter/warm_payload and /warm_multiplier_seed re-solve the SAME cell from the SAME x0 through solve(model, x0, WarmStartData, budget), after a converged producing solve ON A SEPARATE SOLVER -- separate because the factor counters accumulate across calls on one solver, so a shared solver would report the producing solve's work in these rows. The producing solve is setup: not timed, not reported.
# warm rows, what each one is read by: warm_payload by iter_num, which must be STRICTLY BELOW hs071_x1_fixed/MakeParameter's; warm_multiplier_seed by its TERMINAL RESIDUALS (kkt_inf/econ_inf/icon_inf), which differ from the base row's -- its iter_num does NOT improve on this cell, and that is the measured value of the multipliers-only form here, not a failure of the row
# refused: f7_n1000_bound_corrupted -- start is a damaged SQP WarmStart from a prior solve at p0; the interior-point engine accepts no such value, so leg (a) cannot run from this cell's own start
# refused: f7_n1000_bound_activity -- start is a SYNTHESIZED interior-point iterate pushed through from_interior_point; superseded here by legs (c)/(d), which measure the same hand-off with a real interior-point export
# refused: f7_n1000_bound_warm -- start is an SQP WarmStart carried from a prior solve at p0 (hot handle and activity encoding, no interior-point counterpart), so leg (a) cannot run from this cell's own start
# refused: f7_n2000_bound_corrupted -- start is a damaged SQP WarmStart from a prior solve at p0; the interior-point engine accepts no such value, so leg (a) cannot run from this cell's own start
# refused: f7_n2000_bound_activity -- start is a SYNTHESIZED interior-point iterate pushed through from_interior_point; superseded here by legs (c)/(d), which measure the same hand-off with a real interior-point export
# refused: f7_n2000_bound_warm -- start is an SQP WarmStart carried from a prior solve at p0 (hot handle and activity encoding, no interior-point counterpart), so leg (a) cannot run from this cell's own start
# refused: f7_n5000_bound_corrupted -- start is a damaged SQP WarmStart from a prior solve at p0; the interior-point engine accepts no such value, so leg (a) cannot run from this cell's own start
# refused: f7_n5000_bound_activity -- start is a SYNTHESIZED interior-point iterate pushed through from_interior_point; superseded here by legs (c)/(d), which measure the same hand-off with a real interior-point export
# refused: f7_n5000_bound_warm -- start is an SQP WarmStart carried from a prior solve at p0 (hot handle and activity encoding, no interior-point counterpart), so leg (a) cannot run from this cell's own start
# refused: f7_n10000_bound_corrupted -- start is a damaged SQP WarmStart from a prior solve at p0; the interior-point engine accepts no such value, so leg (a) cannot run from this cell's own start
# refused: f7_n10000_bound_activity -- start is a SYNTHESIZED interior-point iterate pushed through from_interior_point; superseded here by legs (c)/(d), which measure the same hand-off with a real interior-point export
# refused: f7_n10000_bound_warm -- start is an SQP WarmStart carried from a prior solve at p0 (hot handle and activity encoding, no interior-point counterpart), so leg (a) cannot run from this cell's own start
# refused: f7_n20000_bound_corrupted -- start is a damaged SQP WarmStart from a prior solve at p0; the interior-point engine accepts no such value, so leg (a) cannot run from this cell's own start
# refused: f7_n20000_bound_activity -- start is a SYNTHESIZED interior-point iterate pushed through from_interior_point; superseded here by legs (c)/(d), which measure the same hand-off with a real interior-point export
# refused: f7_n20000_bound_warm -- start is an SQP WarmStart carried from a prior solve at p0 (hot handle and activity encoding, no interior-point counterpart), so leg (a) cannot run from this cell's own start
# refused: f7_n1000_path_warm -- start is an SQP WarmStart carried from a prior solve at p0 (hot handle and activity encoding, no interior-point counterpart), so leg (a) cannot run from this cell's own start
# refused: f7_n800_path_warm -- start is an SQP WarmStart carried from a prior solve at p0 (hot handle and activity encoding, no interior-point counterpart), so leg (a) cannot run from this cell's own start
cell_id,family,n_nodes,window,taxonomy,status,iter_num,obj_val,kkt_inf,barr_inf,econ_inf,icon_inf,factorizations,solves,analyses,soc_steps,watchdog_activations,fixed_treatment,stop_reason,phase_count,phases_ran,phases,x_size,lambda_e_size,lambda_i_size,z_size,stationarity,feasibility_e,feasibility_i,complementarity,wall_s
f7_n10000_bound_neutral/RelaxBounds,F7,10000,bound,neutral,optimal,9,-4.059629708e-01,4.384091675e-10,6.954131848e-11,6.138253342e-16,0.000000000e+00,9,9,1,0,0,RelaxBounds,none,1,1,kOptimize:optimal:9,50000,30000,10000,50000,4.384091675e-10,6.138253342e-16,0.000000000e+00,6.954131848e-11,0.542443923
f7_n10000_bound_physics/MakeParameter,F7,10000,bound,physics,optimal,5,-4.059629708e-01,2.479467811e-10,3.801460695e-11,1.103828678e-16,0.000000000e+00,5,5,1,0,0,MakeParameter,none,1,1,kOptimize:optimal:5,50000,30000,10000,50000,2.479467811e-10,1.103828678e-16,0.000000000e+00,3.801460695e-11,0.375272790
f7_n10000_bound_physics/MakeConstraint,F7,10000,bound,physics,optimal,5,-4.059629708e-01,2.479467811e-10,3.801460695e-11,1.103828678e-16,0.000000000e+00,5,5,1,0,0,MakeConstraint,none,1,1,kOptimize:optimal:5,50000,30000,10000,50000,2.479467811e-10,1.103828678e-16,0.000000000e+00,3.801460695e-11,0.372491474
f7_n10000_bound_physics/RelaxBounds,F7,10000,bound,physics,optimal,5,-4.059629708e-01,2.479467811e-10,3.801460695e-11,1.103828678e-16,0.000000000e+00,5,5,1,0,0,RelaxBounds,none,1,1,kOptimize:optimal:5,50000,30000,10000,50000,2.479467811e-10,1.103828678e-16,0.000000000e+00,3.801460695e-11,0.373103321
f7_n20000_bound_neutral/MakeParameter,F7,20000,bound,neutral,optimal,9,-4.058767313e-01,5.551597096e-10,9.900664080e-11,3.404097007e-15,0.000000000e+00,9,9,1,0,0,MakeParameter,none,1,1,kOptimize:optimal:9,100000,60000,20000,100000,5.551597096e-10,3.404097007e-15,0.000000000e+00,9.900664080e-11,1.168178299
f7_n20000_bound_neutral/MakeConstraint,F7,20000,bound,neutral,optimal,9,-4.058767313e-01,5.551597096e-10,9.900664080e-11,3.404097007e-15,0.000000000e+00,9,9,1,0,0,MakeConstraint,none,1,1,kOptimize:optimal:9,100000,60000,20000,100000,5.551597096e-10,3.404097007e-15,0.000000000e+00,9.900664080e-11,1.123688851
f7_n20000_bound_neutral/RelaxBounds,F7,20000,bound,neutral,optimal,9,-4.058767313e-01,5.551597096e-10,9.900664080e-11,3.404097007e-15,0.000000000e+00,9,9,1,0,0,RelaxBounds,none,1,1,kOptimize:optimal:9,100000,60000,20000,100000,5.551597096e-10,3.404097007e-15,0.000000000e+00,9.900664080e-11,1.124827045
f7_n20000_bound_physics/MakeParameter,F7,20000,bound,physics,optimal,5,-4.058767313e-01,2.481461924e-10,3.803510500e-11,1.104631635e-16,0.000000000e+00,5,5,1,0,0,MakeParameter,none,1,1,kOptimize:optimal:5,100000,60000,20000,100000,2.481461924e-10,1.104631635e-16,0.000000000e+00,3.803510500e-11,0.785064975
f7_n20000_bound_physics/MakeConstraint,F7,20000,bound,physics,optimal,5,-4.058767313e-01,2.481461924e-10,3.803510500e-11,1.104631635e-16,0.000000000e+00,5,5,1,0,0,MakeConstraint,none,1,1,kOptimize:optimal:5,100000,60000,20000,100000,2.481461924e-10,1.104631635e-16,0.000000000e+00,3.803510500e-11,0.783032785
f7_n20000_bound_physics/RelaxBounds,F7,20000,bound,physics,optimal,5,-4.058767313e-01,2.481461924e-10,3.803510500e-11,1.104631635e-16,0.000000000e+00,5,5,1,0,0,RelaxBounds,none,1,1,kOptimize:optimal:5,100000,60000,20000,100000,2.481461924e-10,1.104631635e-16,0.000000000e+00,3.803510500e-11,0.780401838
hs071_x1_fixed/MakeParameter,hs,4,none,fixed_variable,optimal,9,1.701401729e+01,1.463526456e-09,1.744133762e-10,0.000000000e+00,0.000000000e+00,9,9,2,0,0,MakeParameter,none,1,1,kOptimize:optimal:9,4,1,1,4,1.463526456e-09,0.000000000e+00,0.000000000e+00,1.712034355e-10,0.000198729
hs071_x1_fixed/MakeConstraint,hs,4,none,fixed_variable,optimal,9,1.701401729e+01,2.096454566e-09,1.744133762e-10,0.000000000e+00,0.000000000e+00,9,9,2,0,0,MakeConstraint,none,1,1,kOptimize:optimal:9,4,1,1,4,2.096454566e-09,0.000000000e+00,0.000000000e+00,1.712034468e-10,0.000134359
hs071_x1_fixed/RelaxBounds,hs,4,none,fixed_variable,optimal,11,1.701401728e+01,3.969047313e-15,3.943132698e-09,0.000000000e+00,0.000000000e+00,11,11,1,0,0,RelaxBounds,none,1,1,kOptimize:optimal:11,4,1,1,4,3.996802889e-15,0.000000000e+00,8.248617456e-09,8.973433560e-09,0.000136650
f7_n1000_bound_neutral/MakeParameter/cap1,F7,1000,bound,neutral,max_iter,1,-1.764445221e-01,7.550671264e-04,1.000000000e-03,1.060660172e-01,0.000000000e+00,2,2,1,0,0,MakeParameter,iteration_cap,1,1,kOptimize:max_iter:1,5000,3000,1000,5000,7.550671264e-04,1.060660172e-01,0.000000000e+00,1.000000000e-03,0.017029589
hs071_x1_fixed/MakeParameter/cap1,hs,4,none,fixed_variable,max_iter,1,1.599599004e+01,1.481450094e+01,1.000000000e-03,1.190205198e+01,2.602472500e-02,2,2,2,0,0,MakeParameter,iteration_cap,1,1,kOptimize:max_iter:1,4,1,1,4,1.481450094e+01,1.190205198e+01,2.502472500e-02,2.502472500e-02,0.000083520
infeas2_spike/MakeParameter/stalled,synthetic,2,none,infeasible,stalled,141,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.791662080e+17,0.000000000e+00,142,142,1,0,0,MakeParameter,stage_stalled,1,1,kSolve:stalled:141,2,1,0,2,nan,3.791662080e+17,0.000000000e+00,0.000000000e+00,0.000629967
infeas2_stationary/MakeParameter/resto_infeasible,synthetic,2,none,infeasible,stalled,25,2.653226544e-04,2.750577544e-13,0.000000000e+00,4.107825191e-14,0.000000000e+00,30,25,1,0,0,MakeParameter,restoration_locally_infeasible,1,1,kOptimize:stalled:25,2,1,0,2,nan,nan,nan,nan,0.000300839
f7_n1000_bound_neutral/MakeParameter/solve_optimize,F7,1000,bound,neutral,optimal,12,-4.075173558e-01,4.680086978e-10,7.139636651e-11,1.070248685e-16,0.000000000e+00,12,12,1,0,0,MakeParameter,none,2,2,kSolve:optimal:5|kOptimize:optimal:7,5000,3000,1000,5000,4.680086978e-10,1.070248685e-16,0.000000000e+00,7.139636651e-11,0.058204733
hs071_x1_fixed/MakeParameter/solve_optimize,hs,4,none,fixed_variable,optimal,19,1.701401729e+01,6.725227498e-11,2.209420442e-12,5.752553989e-11,6.068399180e-11,19,19,2,0,0,MakeParameter,none,2,2,kSolve:optimal:7|kOptimize:optimal:12,4,1,1,4,6.725227498e-11,5.752553989e-11,5.668354675e-11,3.130596350e-11,0.000195799
hs071_x1_fixed/MakeParameter/warm_payload,hs,4,none,fixed_variable,optimal,3,1.701401729e+01,2.380127720e-15,1.371595592e-10,0.000000000e+00,0.000000000e+00,3,3,2,0,0,MakeParameter,none,1,1,kOptimize:optimal:3,4,1,1,4,2.380127720e-15,0.000000000e+00,0.000000000e+00,1.371595592e-10,0.000082300
hs071_x1_fixed/MakeParameter/warm_multiplier_seed,hs,4,none,fixed_variable,optimal,9,1.701401729e+01,9.321062880e-11,2.135769496e-11,2.117630515e-10,2.080614431e-10,9,9,2,0,0,MakeParameter,none,1,1,kOptimize:optimal:9,4,1,1,4,9.321062880e-11,2.117630515e-10,1.942552785e-10,1.072859588e-10,0.000115429
f7_n1000_bound_neutral/MakeConstraint/parts2,F7,1000,bound,neutral,optimal,7,-4.075173558e-01,4.165961184e-09,6.604566508e-10,1.123981747e-16,0.000000000e+00,7,7,1,0,0,MakeConstraint,none,1,1,kOptimize:optimal:7,5000,3000,1000,5000,4.165961184e-09,1.123981747e-16,0.000000000e+00,6.604566508e-10,0.039941279
f7_n1000_bound_neutral/MakeParameter/parts2,F7,1000,bound,neutral,optimal,7,-4.075173558e-01,4.165961184e-09,6.604566508e-10,1.123981747e-16,0.000000000e+00,7,7,1,0,0,MakeParameter,none,1,1,kOptimize:optimal:7,5000,3000,1000,5000,4.165961184e-09,1.123981747e-16,0.000000000e+00,6.604566508e-10,0.038750235
